,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
63,Mario Kart 64,N64,1996.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
64,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Bungie,M
65,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,156.67227235438884,SquareSoft,T
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,0.29,0.14,0.04,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,343 Industries,M
67,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,23.0,7.7,135.0,Polyphony Digital,T
68,Just Dance 2,Wii,2010.0,Misc,Ubisoft,0.29,0.14,0.01,0.04,0.57,73.0,24.0,7.3,29.0,Ubisoft,E10+
69,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,71.0,22.0,7.116133442712647,156.67227235438884,Infinity Ward,M
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Infinity Ward,M
71,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
72,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,0.29,0.14,0.02,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
74,Mario Party DS,DS,2007.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,72.0,26.168198060234815,7.7,85.0,Hudson Soft,E
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Bethesda Game Studios,M
76,Super Mario Kart,SNES,1992.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
77,FIFA 16,PS4,2015.0,Sports,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,EA Sports,E
78,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,0.29,0.14,0.05,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Bungie Software,M
79,Wii Party,Wii,2010.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.4,54.0,Nd Cube,E
80,Mario Party 8,Wii,2007.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Hudson,E
81,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Electronic Arts,E
82,GoldenEye 007,N64,1997.0,Shooter,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
83,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
84,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,SquareSoft,T
85,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.6,156.67227235438884,The Sims Studio,T
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
87,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,0.29,0.14,0.06,0.04,0.57,73.0,24.0,7.7,156.67227235438884,SquareSoft,T
89,Pac-Man,2600,1982.0,Puzzle,Atari,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
90,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Game Freak,E
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.6,156.67227235438884,Rockstar Leeds,M
92,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Sledgehammer Games,M
93,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
94,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"EA Sports, EA Vancouver",E
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
96,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
97,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo EAD Tokyo,E
98,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
99,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,0.29,0.14,0.01,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
100,Call of Duty: World at War,X360,2008.0,Shooter,Activision,0.29,0.14,0.0,0.04,0.57,73.0,26.168198060234815,7.6,156.67227235438884,Treyarch,M
101,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.4,156.67227235438884,EA DICE,M
102,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,EA Black Box,E
103,Just Dance,Wii,2009.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,68.81214905564063,22.0,7.7,110.0,Ubisoft Paris,E10+
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.5,156.67227235438884,EA DICE,M
105,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Bethesda Game Studios,M
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,156.67227235438884,Namco,T
107,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,T
108,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
109,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,156.67227235438884,Naughty Dog,E
110,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
111,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,HAL Labs,T
112,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
113,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,132.0,EA Canada,E
114,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,135.0,EA LA,T
115,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
116,Just Dance 4,Wii,2012.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.3,29.0,Ubisoft,E10+
117,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Epic Games,M
118,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Naughty Dog,T
119,Zumba Fitness,Wii,2010.0,Sports,505 Games,0.29,0.14,0.0,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,"Pipeworks Software, Inc.",E
120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Infinity Ward,M
121,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Naughty Dog,T
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.4,29.0,Nintendo,E
124,The Legend of Zelda,NES,1986.0,Action,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
125,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar San Diego,M
126,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,EA Canada,E
127,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,M
128,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Retro Studios,E
129,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Bungie Software,M
130,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.116133442712647,156.67227235438884,Bethesda Game Studios,M
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Game Freak,E
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,SquareSoft,E
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"Bungie Software, Bungie",M
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar San Diego,M
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,0.14,0.0,0.0,0.57,73.0,26.168198060234815,7.3,156.67227235438884,Blizzard Entertainment,T
139,Driver,PS,1999.0,Action,GT Interactive,0.29,0.14,0.02,0.04,0.57,73.0,22.0,7.7,78.0,Reflections Interactive,T
140,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Epic Games,M
141,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,0.29,0.14,0.03,0.04,0.57,73.0,26.168198060234815,7.4,95.0,Rare Ltd.,E10+
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Epic Games,M
143,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.29,0.14,0.05,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,EA Sports,E
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,KCEJ,M
145,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,156.67227235438884,KCEJ,M
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Kojima Productions,M
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,0.29,0.0,0.06,0.04,0.57,73.0,26.168198060234815,7.6,156.67227235438884,Square Enix,T
149,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Naughty Dog,M
150,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"SCE/WWS, Media Molecule",E
151,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,156.67227235438884,Capcom,M
